year;sheet;component_label;sector_group_guess;eu_mean_price_eur_per_denom;unit_denom_kg;eu_mean_price_eur_per_kg;eu_countries_used;sector_group
2015;Sheet 1;Soft Wheat;Wheat;16,48;100;0,1648;27;Wheat
2016;Sheet 1;Soft Wheat;Wheat;14,56;100;0,1456;27;Wheat
2017;Sheet 1;Soft Wheat;Wheat;15,423478260869569;100;0,1542347826086957;27;Wheat
2018;Sheet 1;Soft Wheat;Wheat;17,01;100;0,17010000000000003;27;Wheat
2019;Sheet 1;Soft Wheat;Wheat;16,668260869565216;100;0,16668260869565216;27;Wheat
2020;Sheet 1;Soft Wheat;Wheat;16,931666666666665;100;0,16931666666666664;27;Wheat
2021;Sheet 1;Soft Wheat;Wheat;21,25521739130435;100;0,21255217391304349;27;Wheat
2022;Sheet 1;Soft Wheat;Wheat;32,19869565217392;100;0,3219869565217392;27;Wheat
2023;Sheet 1;Soft Wheat;Wheat;22,75565217391304;100;0,2275565217391304;27;Wheat
2024;Sheet 1;Soft Wheat;Wheat;20,20125;100;0,2020125;27;Wheat
2015;Sheet 2;Rye;Other cereals and grains;13,645;100;0,13645;27;Other cereals and grains
2016;Sheet 2;Rye;Other cereals and grains;12,742500000000001;100;0,127425;27;Other cereals and grains
2017;Sheet 2;Rye;Other cereals and grains;13,75052631578947;100;0,13750526315789469;27;Other cereals and grains
2018;Sheet 2;Rye;Other cereals and grains;15,305263157894737;100;0,15305263157894738;27;Other cereals and grains
2019;Sheet 2;Rye;Other cereals and grains;14,473157894736843;100;0,14473157894736843;27;Other cereals and grains
2020;Sheet 2;Rye;Other cereals and grains;13,854999999999995;100;0,13854999999999995;27;Other cereals and grains
2021;Sheet 2;Rye;Other cereals and grains;17,266842105263155;100;0,17266842105263155;27;Other cereals and grains
2022;Sheet 2;Rye;Other cereals and grains;27,13736842105263;100;0,2713736842105263;27;Other cereals and grains
2023;Sheet 2;Rye;Other cereals and grains;19,72;100;0,1972;27;Other cereals and grains
2024;Sheet 2;Rye;Other cereals and grains;16,773684210526316;100;0,16773684210526316;27;Other cereals and grains
2015;Sheet 3;Barley;Barley;16,046;100;0,16046;27;Barley
2016;Sheet 3;Barley;Barley;14,932857142857145;100;0,14932857142857145;27;Barley
2017;Sheet 3;Barley;Barley;14,41952380952381;100;0,1441952380952381;27;Barley
2018;Sheet 3;Barley;Barley;16,70952380952381;100;0,16709523809523807;27;Barley
2019;Sheet 3;Barley;Barley;15,869047619047622;100;0,15869047619047622;27;Barley
2020;Sheet 3;Barley;Barley;15,29809523809524;100;0,15298095238095238;27;Barley
2021;Sheet 3;Barley;Barley;19,34315789473684;100;0,1934315789473684;27;Barley
2022;Sheet 3;Barley;Barley;30,058;100;0,30058;27;Barley
2023;Sheet 3;Barley;Barley;21,933157894736844;100;0,21933157894736843;27;Barley
2024;Sheet 3;Barley;Barley;19,1585;100;0,191585;27;Barley
2015;Sheet 4;Oats;Other cereals and grains;16,085833333333333;100;0,16085833333333333;27;Other cereals and grains
2016;Sheet 4;Oats;Other cereals and grains;15,899166666666668;100;0,15899166666666667;27;Other cereals and grains
2017;Sheet 4;Oats;Other cereals and grains;14,523478260869569;100;0,14523478260869568;27;Other cereals and grains
2018;Sheet 4;Oats;Other cereals and grains;16,654347826086955;100;0,16654347826086954;27;Other cereals and grains
2019;Sheet 4;Oats;Other cereals and grains;16,434782608695656;100;0,16434782608695656;27;Other cereals and grains
2020;Sheet 4;Oats;Other cereals and grains;16,28478260869565;100;0,1628478260869565;27;Other cereals and grains
2021;Sheet 4;Oats;Other cereals and grains;18,452272727272728;100;0,18452272727272728;27;Other cereals and grains
